,continent,country,population,cases,deaths,tests,day,time
201,Oceania,Australia,26068792.0,"{'new': None, 'active': 8716, 'critical': 3, 'recovered': 11820014, '1M_pop': '454687', 'total': 11853144}","{'new': None, '1M_pop': '937', 'total': 24414}","{'1M_pop': '3142326', 'total': 81916639}",2024-12-22,2024-12-22T11:30:03+00:00
202,Asia,Vietnam,98953541.0,"{'new': None, 'active': 941018, 'critical': None, 'recovered': 10640971, '1M_pop': '117481', 'total': 11625195}","{'new': None, '1M_pop': '437', 'total': 43206}","{'1M_pop': '867342', 'total': 85826548}",2024-12-22,2024-12-22T11:30:03+00:00
203,Asia,Taiwan,23888595.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 10222518, '1M_pop': '428720', 'total': 10241523}","{'new': None, '1M_pop': '796', 'total': 19005}","{'1M_pop': '1286903', 'total': 30742304}",2024-12-22,2024-12-22T11:30:03+00:00
204,South-America,Argentina,46010234.0,"{'new': None, 'active': 746, 'critical': None, 'recovered': 9997258, '1M_pop': '220143', 'total': 10128845}","{'new': None, '1M_pop': '2844', 'total': 130841}","{'1M_pop': '776264', 'total': 35716069}",2024-12-22,2024-12-22T11:30:03+00:00
205,Europe,Netherlands,17211447.0,"{'new': None, 'active': 195, 'critical': None, 'recovered': 8612599, '1M_pop': '501747', 'total': 8635786}","{'new': None, '1M_pop': '1336', 'total': 22992}","{'1M_pop': '1509718', 'total': 25984435}",2024-12-22,2024-12-22T11:30:03+00:00
206,North-America,Mexico,131562772.0,"{'new': None, 'active': 467986, 'critical': None, 'recovered': 6899865, '1M_pop': '58549', 'total': 7702809}","{'new': None, '1M_pop': '2546', 'total': 334958}","{'1M_pop': '152124', 'total': 20013810}",2024-12-22,2024-12-22T11:30:03+00:00
207,Asia,Iran,86022837.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '88665', 'total': 7627186}","{'new': None, '1M_pop': '1707', 'total': 146811}","{'1M_pop': '666338', 'total': 57320267}",2024-12-22,2024-12-22T11:30:03+00:00
208,Asia,Indonesia,279134505.0,"{'new': None, 'active': 20054, 'critical': None, 'recovered': 6647104, '1M_pop': '24466', 'total': 6829221}","{'new': None, '1M_pop': '581', 'total': 162063}","{'1M_pop': '408975', 'total': 114158919}",2024-12-22,2024-12-22T11:30:03+00:00
209,Europe,Poland,37739785.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '176524', 'total': 6661991}","{'new': None, '1M_pop': '3196', 'total': 120598}","{'1M_pop': '1041970', 'total': 39323709}",2024-12-22,2024-12-22T11:30:03+00:00
210,South-America,Colombia,51512762.0,"{'new': None, 'active': 44821, 'critical': 342, 'recovered': 6212152, '1M_pop': '124244', 'total': 6400173}","{'new': None, '1M_pop': '2780', 'total': 143200}","{'1M_pop': '717327', 'total': 36951507}",2024-12-22,2024-12-22T11:30:03+00:00
211,Europe,Greece,10316637.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '591412', 'total': 6101379}","{'new': None, '1M_pop': '3671', 'total': 37869}","{'1M_pop': '9909078', 'total': 102228365}",2024-12-22,2024-12-22T11:30:03+00:00
212,Europe,Austria,9066710.0,"{'new': None, 'active': 3811, 'critical': None, 'recovered': 6054934, '1M_pop': '670727', 'total': 6081287}","{'new': None, '1M_pop': '2486', 'total': 22542}","{'1M_pop': '23302116', 'total': 211273524}",2024-12-22,2024-12-22T11:30:03+00:00
213,Europe,Portugal,10140570.0,"{'new': None, 'active': 127, 'critical': 61, 'recovered': 5614809, '1M_pop': '556484', 'total': 5643062}","{'new': None, '1M_pop': '2774', 'total': 28126}","{'1M_pop': '4549993', 'total': 46139518}",2024-12-22,2024-12-22T11:30:03+00:00
214,South-America,Chile,19250195.0,"{'new': None, 'active': 67906, 'critical': 7, 'recovered': 5252450, '1M_pop': '279730', 'total': 5384853}","{'new': None, '1M_pop': '3350', 'total': 64497}","{'1M_pop': '2617225', 'total': 50382097}",2024-12-22,2024-12-22T11:30:03+00:00
215,Asia,Malaysia,33181072.0,"{'new': None, 'active': 7790, 'critical': 11, 'recovered': 5233268, '1M_pop': '159079', 'total': 5278406}","{'new': None, '1M_pop': '1126', 'total': 37348}","{'1M_pop': '2066869', 'total': 68580916}",2024-12-22,2024-12-22T11:30:03+00:00
216,North-America,Canada,38388419.0,"{'new': None, 'active': 5744, 'critical': 99, 'recovered': 4881312, '1M_pop': '128843', 'total': 4946090}","{'new': None, '1M_pop': '1538', 'total': 59034}","{'1M_pop': '1734189', 'total': 66572774}",2024-12-22,2024-12-22T11:30:03+00:00
217,Europe,Belgium,11668278.0,"{'new': None, 'active': 521, 'critical': None, 'recovered': 4826798, '1M_pop': '416659', 'total': 4861695}","{'new': None, '1M_pop': '2946', 'total': 34376}","{'1M_pop': '3209915', 'total': 37454182}",2024-12-22,2024-12-22T11:30:03+00:00
218,Asia,Israel,9326000.0,"{'new': None, 'active': 30592, 'critical': None, 'recovered': 4798473, '1M_pop': '519169', 'total': 4841772}","{'new': None, '1M_pop': '1363', 'total': 12707}","{'1M_pop': '4436346', 'total': 41373364}",2024-12-22,2024-12-22T11:30:03+00:00
219,Asia,Thailand,70078203.0,"{'new': None, 'active': 42927, 'critical': None, 'recovered': 4692636, '1M_pop': '68069', 'total': 4770149}","{'new': None, '1M_pop': '494', 'total': 34586}","{'1M_pop': '246488', 'total': 17273454}",2024-12-22,2024-12-22T11:30:03+00:00
220,Europe,Czechia,10736784.0,"{'new': None, 'active': 318, 'critical': 2, 'recovered': 4715206, '1M_pop': '443246', 'total': 4759041}","{'new': None, '1M_pop': '4053', 'total': 43517}","{'1M_pop': '5386552', 'total': 57834241}",2024-12-22,2024-12-22T11:30:03+00:00
221,South-America,Peru,33684208.0,"{'new': None, 'active': 0, 'critical': 4, 'recovered': 4350506, '1M_pop': '135751', 'total': 4572667}","{'new': None, '1M_pop': '6595', 'total': 222161}","{'1M_pop': '1158115', 'total': 39010194}",2024-12-22,2024-12-22T11:30:03+00:00
222,Europe,Switzerland,8773637.0,"{'new': None, 'active': 292, 'critical': None, 'recovered': 4438309, '1M_pop': '507549', 'total': 4453053}","{'new': None, '1M_pop': '1647', 'total': 14452}","{'1M_pop': '2716487', 'total': 23833472}",2024-12-22,2024-12-22T11:30:03+00:00
223,Asia,Philippines,112508994.0,"{'new': None, 'active': 6138, 'critical': None, 'recovered': 4067381, '1M_pop': '36800', 'total': 4140383}","{'new': None, '1M_pop': '594', 'total': 66864}","{'1M_pop': '320888', 'total': 36102746}",2024-12-22,2024-12-22T11:30:03+00:00
224,Europe,Romania,19031335.0,"{'new': None, 'active': 657, 'critical': 21, 'recovered': 3460149, '1M_pop': '185470', 'total': 3529735}","{'new': None, '1M_pop': '3622', 'total': 68929}","{'1M_pop': '1511122', 'total': 28758667}",2024-12-22,2024-12-22T11:30:03+00:00
225,Europe,Denmark,5834950.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 3174942, '1M_pop': '545636', 'total': 3183756}","{'new': None, '1M_pop': '1511', 'total': 8814}","{'1M_pop': '22165247', 'total': 129333107}",2024-12-22,2024-12-22T11:30:03+00:00
226,Asia,Singapore,5943546.0,"{'new': None, 'active': 0, 'critical': 4, 'recovered': 3004131, '1M_pop': '505785', 'total': 3006155}","{'new': None, '1M_pop': '341', 'total': 2024}","{'1M_pop': '4165302', 'total': 24756666}",2024-12-22,2024-12-22T11:30:03+00:00
227,Asia,Hong-Kong,7604299.0,"{'new': None, 'active': 6680, 'critical': None, 'recovered': 2916005, '1M_pop': '386309', 'total': 2937609}","{'new': None, '1M_pop': '1963', 'total': 14924}","{'1M_pop': '10011143', 'total': 76127725}",2024-12-22,2024-12-22T11:30:03+00:00
228,North-America,North-America,,"{'new': None, 'active': 2528062, 'critical': 6095, 'recovered': 127665129, '1M_pop': None, 'total': 131889132}","{'new': None, '1M_pop': None, 'total': 1695941}","{'1M_pop': None, 'total': None}",2024-12-22,2024-12-22T11:30:02+00:00
229,Asia,Asia,,"{'new': None, 'active': 14273512, 'critical': 14733, 'recovered': 205673091, '1M_pop': None, 'total': 221500265}","{'new': None, '1M_pop': None, 'total': 1553662}","{'1M_pop': None, 'total': None}",2024-12-22,2024-12-22T11:30:02+00:00
230,Europe,Europe,,"{'new': None, 'active': 2550270, 'critical': 4453, 'recovered': 248754104, '1M_pop': None, 'total': 253406198}","{'new': None, '1M_pop': None, 'total': 2101824}","{'1M_pop': None, 'total': None}",2024-12-22,2024-12-22T11:30:02+00:00
231,South-America,South-America,,"{'new': None, 'active': 2149962, 'critical': 8953, 'recovered': 66683585, '1M_pop': None, 'total': 70200879}","{'new': None, '1M_pop': None, 'total': 1367332}","{'1M_pop': None, 'total': None}",2024-12-22,2024-12-22T11:30:02+00:00
232,Oceania,Oceania,,"{'new': None, 'active': 110368, 'critical': 31, 'recovered': 14752388, '1M_pop': None, 'total': 14895771}","{'new': None, '1M_pop': None, 'total': 33015}","{'1M_pop': None, 'total': None}",2024-12-22,2024-12-22T11:30:02+00:00
233,Africa,Africa,,"{'new': None, 'active': 511224, 'critical': 529, 'recovered': 12090808, '1M_pop': None, 'total': 12860924}","{'new': None, '1M_pop': None, 'total': 258892}","{'1M_pop': None, 'total': None}",2024-12-22,2024-12-22T11:30:02+00:00
234,All,All,,"{'new': '0', 'active': 22123398, 'critical': 34794, 'recovered': 675619811, '1M_pop': '90413', 'total': 704753890}","{'new': '0', '1M_pop': '899.4', 'total': 7010681}","{'1M_pop': None, 'total': None}",2024-12-22,2024-12-22T11:30:02+00:00
235,North-America,USA,334805269.0,"{'new': None, 'active': 786167, 'critical': 940, 'recovered': 109814428, '1M_pop': '333985', 'total': 111820082}","{'new': None, '1M_pop': '3642', 'total': 1219487}","{'1M_pop': '3544901', 'total': 1186851502}",2024-12-22,2024-12-22T11:30:02+00:00
236,Asia,India,1406631776.0,"{'new': None, 'active': None, 'critical': None, 'recovered': None, '1M_pop': '32016', 'total': 45035393}","{'new': None, '1M_pop': '379', 'total': 533570}","{'1M_pop': '665334', 'total': 935879495}",2024-12-22,2024-12-22T11:30:02+00:00
237,Europe,France,65584518.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 39970918, '1M_pop': '612013', 'total': 40138560}","{'new': None, '1M_pop': '2556', 'total': 167642}","{'1M_pop': '4139547', 'total': 271490188}",2024-12-22,2024-12-22T11:30:02+00:00
