,id,original_title,title,popularity,release_date,vote_average,vote_count
1267,13393,Babam ve Oğlum,My Father and My Son,11.147,2005-11-18,7.508,324
1268,11202,Patton,Patton,22.972,1970-01-25,7.5,1091
1269,470878,I Can Only Imagine,I Can Only Imagine,23.618,2018-02-14,7.5,468
1270,21734,Shadow of a Doubt,Shadow of a Doubt,19.846,1943-01-15,7.507,1024
1271,16633,Somewhere in Time,Somewhere in Time,20.795,1980-10-02,7.5,571
1272,13353,"It's the Great Pumpkin, Charlie Brown","It's the Great Pumpkin, Charlie Brown",19.953,1966-10-27,7.5,403
1273,786,Almost Famous,Almost Famous,26.739,2000-09-15,7.505,2729
1274,8342,No Man's Land,No Man's Land,12.287,2001-05-12,7.5,436
1275,776,La Règle du jeu,The Rules of the Game,15.406,1939-07-09,7.505,583
1276,599521,Z-O-M-B-I-E-S 2,Z-O-M-B-I-E-S 2,21.656,2020-06-13,7.504,451
1277,11356,The Odd Couple,The Odd Couple,19.023,1968-05-16,7.5,567
1278,10377,My Cousin Vinny,My Cousin Vinny,36.451,1992-03-13,7.5,1577
1279,2034,Training Day,Training Day,38.401,2001-10-05,7.504,5901
1280,552095,PAW Patrol: Mighty Pups,PAW Patrol: Mighty Pups,19.787,2018-10-04,7.503,576
1281,40823,O Homem Que Copiava,The Man Who Copied,6.813,2003-06-13,7.5,342
1282,16642,Days of Heaven,Days of Heaven,17.195,1978-09-13,7.5,1016
1283,15917,देवदास,Devdas,14.153,2002-07-11,7.5,333
1284,11970,Hercules,Hercules,77.871,1997-06-13,7.503,7406
1285,11906,Suspiria,Suspiria,41.541,1977-02-01,7.503,2912
1286,675353,Sonic the Hedgehog 2,Sonic the Hedgehog 2,282.007,2022-03-30,7.5,5026
1287,436969,The Suicide Squad,The Suicide Squad,125.15,2021-07-28,7.502,8636
1288,69,Walk the Line,Walk the Line,21.037,2005-09-13,7.5,2857
1289,1076364,Carl's Date,Carl's Date,71.794,2023-06-15,7.501,406
1290,74879,Bir Zamanlar Anadolu'da,Once Upon a Time in Anatolia,14.535,2011-09-23,7.5,468
1291,13377,How the Grinch Stole Christmas!,How the Grinch Stole Christmas!,74.487,1966-12-18,7.5,1006
1292,7500,Sonatine,Sonatine,16.533,1993-09-10,7.501,629
1293,626872,비상선언,Emergency Declaration,17.579,2022-08-03,7.5,353
1294,85350,Boyhood,Boyhood,20.646,2014-06-05,7.5,5140
1295,10604,Αλέξης Ζορμπάς,Zorba the Greek,23.082,1964-12-14,7.5,344
1296,1567,Seul contre tous,I Stand Alone,15.623,1998-05-16,7.5,511
1297,923,Dawn of the Dead,Dawn of the Dead,37.722,1978-09-02,7.5,2071
1298,615,The Passion of the Christ,The Passion of the Christ,63.532,2004-02-25,7.5,4586
1299,229,Bride of Frankenstein,Bride of Frankenstein,19.116,1935-04-20,7.5,969
1300,666243,The Witcher: Nightmare of the Wolf,The Witcher: Nightmare of the Wolf,25.006,2021-08-22,7.499,949
1301,544510,Edmond,"Cyrano, My Love",12.774,2018-11-10,7.5,497
1302,517093,Балканский рубеж,Balkan Line,39.092,2019-03-21,7.5,517
1303,364137,Nous trois ou rien,All Three of Us,6.907,2015-11-04,7.499,489
1304,12169,Le Premier Jour du reste de ta vie,The First Day of the Rest of Your Life,12.779,2008-07-23,7.499,466
1305,9516,Menace II Society,Menace II Society,26.786,1993-05-26,7.499,763
1306,79,英雄,Hero,30.773,2002-07-22,7.499,2250
1307,676701,Tadeo Jones 3: La Tabla Esmeralda,"Tad, the Lost Explorer and the Emerald Tablet",28.344,2022-08-24,7.5,308
1308,500664,Upgrade,Upgrade,52.449,2018-05-31,7.5,4365
1309,332562,A Star Is Born,A Star Is Born,40.309,2018-10-03,7.5,11637
1310,18197,Running on Empty,Running on Empty,21.668,1988-09-09,7.5,309
1311,15097,La cité de la peur,Fear City: A Family-Style Comedy,11.276,1994-03-09,7.5,1239
1312,13396,The Snowman,The Snowman,19.228,1982-12-26,7.5,304
1313,11327,Midnight Express,Midnight Express,26.169,1978-08-31,7.5,1699
1314,7549,霍元甲,Fearless,25.193,2006-01-26,7.499,1270
1315,551332,The Two Popes,The Two Popes,17.232,2019-11-27,7.497,2827
1316,648,La Belle et la Bête,Beauty and the Beast,20.485,1946-10-29,7.5,596
1317,586940,J'ai perdu mon corps,I Lost My Body,13.101,2019-11-06,7.5,1246
1318,43904,L'Atalante,L'Atalante,13.343,1934-04-24,7.495,419
1319,11113,My Fair Lady,My Fair Lady,27.315,1964-10-21,7.493,1298
1320,4291,菊次郎の夏,Kikujiro,21.398,1999-06-05,7.495,521
1321,3529,The Thin Man,The Thin Man,14.698,1934-05-25,7.5,456
1322,3133,Badlands,Badlands,15.535,1973-03-24,7.495,1182
1323,330459,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,38.121,2016-12-14,7.5,15241
1324,22538,Scott Pilgrim vs. the World,Scott Pilgrim vs. the World,40.101,2010-08-12,7.493,7855
1325,11841,少林三十六房,The 36th Chamber of Shaolin,28.326,1978-02-02,7.5,420
1326,11506,Tystnaden,The Silence,14.623,1963-09-23,7.5,361
1327,8321,In Bruges,In Bruges,28.545,2008-02-08,7.493,5127
1328,7735,Die Welle,The Wave,23.849,2008-03-13,7.493,3319
1329,1368,First Blood,First Blood,48.073,1982-10-22,7.5,6246
1330,383498,Deadpool 2,Deadpool 2,80.989,2018-05-10,7.5,17979
1331,345938,The Shack,The Shack,38.475,2017-03-03,7.5,2127
1332,258480,Carol,Carol,29.72,2015-11-20,7.5,3677
1333,284293,Still Alice,Still Alice,17.749,2014-12-05,7.491,3058
1334,17809,精武英雄,Fist of Legend,26.473,1994-12-22,7.491,527
1335,16328,Johnny Got His Gun,Johnny Got His Gun,12.916,1971-08-04,7.5,378
1336,1859,Ninotchka,Ninotchka,16.935,1939-11-23,7.5,381
1337,550988,Free Guy,Free Guy,60.803,2021-08-11,7.49,8778
1338,983,The Man Who Would Be King,The Man Who Would Be King,14.616,1975-12-03,7.5,627
1339,203833,The Book Thief,The Book Thief,22.357,2013-11-08,7.5,4291
1340,620,Ghostbusters,Ghostbusters,48.229,1984-06-08,7.489,8943
1341,475,Bonnie and Clyde,Bonnie and Clyde,27.087,1967-08-14,7.5,1609
1342,468284,L'Insulte,The Insult,12.119,2017-09-14,7.5,452
1343,437586,mid90s,mid90s,25.483,2018-10-19,7.5,1589
1344,389015,"I, Tonya","I, Tonya",23.02,2017-12-08,7.5,5785
1345,73456,Barbie: Princess Charm School,Barbie: Princess Charm School,52.813,2011-08-11,7.5,814
1346,42801,"Ieri, oggi, domani","Yesterday, Today and Tomorrow",17.206,1963-12-21,7.5,421
1347,3001,How to Steal a Million,How to Steal a Million,16.829,1966-07-13,7.489,584
1348,301528,Toy Story 4,Toy Story 4,76.268,2019-06-19,7.5,9769
1349,37903,Das weiße Band - Eine deutsche Kindergeschichte,The White Ribbon,16.62,2009-09-24,7.5,1012
1350,345,Eyes Wide Shut,Eyes Wide Shut,59.345,1999-07-16,7.487,6185
1351,660120,Verdens verste menneske,The Worst Person in the World,24.188,2021-10-13,7.5,1371
1352,520763,A Quiet Place Part II,A Quiet Place Part II,71.883,2021-05-21,7.5,6549
1353,203101,学園黙示録 HIGHSCHOOL OF THE DEAD ドリフターズ・オブ・ザ・デッド,High School of the Dead: Drifters of the Dead,11.104,2011-04-25,7.5,460
1354,25934,"To Sir, with Love","To Sir, with Love",12.534,1967-06-14,7.5,313
1355,252,Willy Wonka & the Chocolate Factory,Willy Wonka & the Chocolate Factory,46.226,1971-06-29,7.5,3584
1356,192,The Name of the Rose,The Name of the Rose,24.037,1986-09-24,7.486,2997
1357,31767,The Devils,The Devils,13.687,1971-07-16,7.485,370
1358,9428,The Royal Tenenbaums,The Royal Tenenbaums,20.235,2001-10-05,7.5,4525
